,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC
542,2007,NRG,1.6,,,0.0,0.0,0.0
543,2008,NRG,1.6,,,0.0,0.0,0.0
544,2009,NRG,31.8,59000.0,,1887.5,0.0,0.0
545,2010,NRG,41.9,57000.0,,31.761006289308156,-3.3898305084745783,0.0
546,2011,NRG,57.4,60000.0,237087.0,36.9928400954654,5.263157894736836,0.0
547,2012,NRG,45.7,47000.0,161686.0,-20.38327526132403,-21.666666666666668,-31.803093379223657
548,2013,NRG,31.0,75000.0,,-32.16630196936543,59.57446808510638,0.0
549,2014,NRG,32.6,102000.0,,5.161290322580658,36.00000000000001,0.0
550,2015,NRG,48.8,89214.1,365611.0,49.69325153374231,-12.535196078431365,0.0
551,2016,NRG,53.5,68624.2,18098.0,9.63114754098362,-23.079199364226067,-95.04993011698227
552,2017,NRG,50.4,51000.0,172209.0,-5.794392523364489,-25.682193745063685,851.5360813349541
553,2018,NRG,48.8,49711.2,156405.0,-3.1746031746031744,-2.5270588235294156,-9.177220702750732
554,2019,NRG,,39000.0,,0.0,-21.54685463235648,0.0
555,2005,OKE,,,,0.0,0.0,0.0
556,2006,OKE,,,,0.0,0.0,0.0
557,2007,OKE,,,,0.0,0.0,0.0
558,2008,OKE,11.6,4900.0,,0.0,0.0,0.0
559,2009,OKE,24.0,4300.0,,106.89655172413795,-12.244897959183676,0.0
560,2010,OKE,23.1,1100.0,,-3.749999999999998,-74.4186046511628,0.0
561,2011,OKE,23.1,1400.0,,0.0,27.27272727272727,0.0
562,2012,OKE,23.1,1500.0,,0.0,7.14285714285714,0.0
563,2013,OKE,23.1,1700.0,,0.0,13.33333333333333,0.0
564,2014,OKE,23.1,1900.0,,0.0,11.764705882352944,0.0
565,2015,OKE,28.1,1900.0,,21.645021645021643,0.0,0.0
566,2016,OKE,28.1,2500.0,,0.0,31.578947368421062,0.0
567,2017,OKE,37.2,2900.0,,32.38434163701067,15.999999999999993,0.0
568,2018,OKE,43.8,3200.0,,17.741935483870954,10.344827586206895,0.0
569,2019,OKE,62.8,3800.0,,43.37899543378996,18.75,0.0
570,2005,OXY,33.1,8500.0,,0.0,0.0,0.0
571,2006,OXY,29.8,10230.0,,-9.969788519637468,20.352941176470594,0.0
572,2007,OXY,34.7,10000.0,,16.442953020134233,-2.2482893450635366,0.0
573,2008,OXY,33.1,10100.0,,-4.610951008645536,1.0000000000000009,0.0
574,2009,OXY,28.1,10300.0,,-15.105740181268878,1.980198019801982,0.0
575,2010,OXY,28.1,11200.0,,0.0,8.737864077669899,0.0
576,2011,OXY,34.7,12200.0,,23.48754448398578,8.92857142857142,0.0
577,2012,OXY,37.2,9800.0,71148.0,7.204610951008639,-19.672131147540984,0.0
578,2013,OXY,37.2,12500.0,64386.0,0.0,27.55102040816326,-9.50413223140496
579,2014,OXY,37.2,10400.0,66444.0,0.0,-16.800000000000004,3.1963470319634757
580,2015,OXY,46.3,9300.0,28169.2,24.462365591397827,-10.576923076923073,-57.60459936186864
581,2016,OXY,54.6,10450.0,62365.1,17.926565874730027,12.365591397849451,121.39464379535094
582,2017,OXY,58.7,11300.0,57531.7,7.509157509157505,8.133971291866038,-7.75016796253033
583,2018,OXY,60.3,10370.0,60000.0,2.72572402044291,-8.230088495575217,4.29033037438491
584,2019,OXY,62.8,22430.2,76361.8,4.1459369817578695,116.29893924783028,27.26966666666668
585,2005,PEG,,,,0.0,0.0,0.0
586,2006,PEG,17.2,25176.1,,0.0,0.0,0.0
587,2007,PEG,15.9,24420.0,,-7.558139534883712,-3.003245141225208,0.0
588,2008,PEG,20.0,23860.0,,25.786163522012572,-2.29320229320229,0.0
589,2009,PEG,49.7,20160.0,,148.50000000000003,-15.507124895222123,0.0
590,2010,PEG,33.8,22707.4,,-31.991951710261578,12.63591269841271,0.0
591,2011,PEG,26.9,16094.3,,-20.414201183431945,-29.12310524322468,0.0
592,2012,PEG,26.9,13929.4,,0.0,-13.451346128753661,0.0
593,2013,PEG,28.3,14955.6,,5.204460966542768,7.367151492526602,0.0
594,2014,PEG,25.5,15460.1,,-9.893992932862194,3.3733183556660995,0.0
595,2015,PEG,25.5,15129.7,,0.0,-2.1371142489375883,0.0
596,2016,PEG,34.5,13116.0,,35.29411764705883,-13.309583137801805,0.0
597,2017,PEG,46.2,12080.8,99316.0,33.913043478260875,-7.892650198231177,0.0
598,2018,PEG,39.3,13684.6,,-14.935064935064945,13.275610886696265,0.0
599,2019,PEG,49.0,13378.2,29474.7,24.6819338422392,-2.239013197316686,0.0
600,2005,PNW,,,,0.0,0.0,0.0
601,2006,PNW,,,,0.0,0.0,0.0
602,2007,PNW,33.1,,,0.0,0.0,0.0
603,2008,PNW,44.8,16379.4,,35.347432024169166,0.0,0.0
604,2009,PNW,46.9,15631.1,,4.6875,-4.568543414288673,0.0
605,2010,PNW,46.9,15245.4,,0.0,-2.467516681487547,0.0
606,2011,PNW,44.8,15272.7,,-4.477611940298509,0.17907040812310537,0.0
607,2012,PNW,42.8,14638.0,,-4.46428571428571,-4.155781230561728,0.0
608,2013,PNW,42.1,14227.3,,-1.635514018691575,-2.8057111627271536,0.0
609,2014,PNW,40.7,14443.6,,-3.32541567695962,1.520316574473024,0.0
610,2015,PNW,50.3,13635.4,25307.6,23.587223587223583,-5.5955578941538135,0.0
