fyear,Ticker,CompanyName,conml
2018,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2019,LNT,ALLIANT ENERGY CORP,Alliant Energy Corp
2010,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2011,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2012,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2013,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2014,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2015,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2016,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2017,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2018,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2019,PXD,PIONEER NATURAL RESOURCES CO,Pioneer Natural Resources Co
2010,DVN,DEVON ENERGY CORP,Devon Energy Corp
2011,DVN,DEVON ENERGY CORP,Devon Energy Corp
2012,DVN,DEVON ENERGY CORP,Devon Energy Corp
2013,DVN,DEVON ENERGY CORP,Devon Energy Corp
2014,DVN,DEVON ENERGY CORP,Devon Energy Corp
2015,DVN,DEVON ENERGY CORP,Devon Energy Corp
2016,DVN,DEVON ENERGY CORP,Devon Energy Corp
2017,DVN,DEVON ENERGY CORP,Devon Energy Corp
2018,DVN,DEVON ENERGY CORP,Devon Energy Corp
2019,DVN,DEVON ENERGY CORP,Devon Energy Corp
2010,VLO,VALERO ENERGY CORP,Valero Energy Corp
2011,VLO,VALERO ENERGY CORP,Valero Energy Corp
2012,VLO,VALERO ENERGY CORP,Valero Energy Corp
2013,VLO,VALERO ENERGY CORP,Valero Energy Corp
2014,VLO,VALERO ENERGY CORP,Valero Energy Corp
2015,VLO,VALERO ENERGY CORP,Valero Energy Corp
2016,VLO,VALERO ENERGY CORP,Valero Energy Corp
2017,VLO,VALERO ENERGY CORP,Valero Energy Corp
2018,VLO,VALERO ENERGY CORP,Valero Energy Corp
2019,VLO,VALERO ENERGY CORP,Valero Energy Corp
2010,EOG,EOG RESOURCES INC,EOG Resources Inc.
2011,EOG,EOG RESOURCES INC,EOG Resources Inc.
2012,EOG,EOG RESOURCES INC,EOG Resources Inc.
2013,EOG,EOG RESOURCES INC,EOG Resources Inc.
2014,EOG,EOG RESOURCES INC,EOG Resources Inc.
2015,EOG,EOG RESOURCES INC,EOG Resources Inc.
