ISIN,CompanyName,Country
TW0003264008,ARDENTEC CORPORATION,Taiwan
JP3661800007,NICHICON CORPORATION,Japan
JP3148800000,IBIDEN CO LTD,Japan
TW0006488000,GLOBALWAFERS CO LTD,Taiwan
TW0003189007,KINSUS INTERCONNECT TECHNOLOGY CORP,Taiwan
JP3322930003,SUMCO CORPORATION,Japan
TW0002330008,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,Taiwan
TW0003105003,WIN SEMICONDUCTORS CORPORATION,Taiwan
TW0006147002,CHIPBOND TECHNOLOGY CORP,Taiwan
TW0002344009,WINBOND ELECTRONICS CORPORATION,Taiwan
TW0002492006,WALSIN TECHNOLOGY CORP,Taiwan
TW0004919006,NUVOTON TECHNOLOGY CORPORATION,Taiwan
KR7009150004,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",South Korea
TW0006257009,SIGURD MICROELECTRONICS CORP.,Taiwan
JP3452000007,TAIYO YUDEN CO LTD,Japan
KYG989221000,ZHEN DING TECHNOLOGY HOLDING LIMITED,Taiwan
TW0006239007,POWERTECH TECHNOLOGY,Taiwan
JP3982800009,ROHM CO LTD,Japan
US3364331070,"FIRST SOLAR, INC.",United States
TW0002329000,ORIENT SEMICONDUCTOR ELECTRONICS LIMITED,Taiwan
TW0002393006,EVERLIGHT ELECTRONICS CO LTD,Taiwan
KR7006400006,SAMSUNG SDI COMPANY LIMITED,South Korea
NL0009538784,NXP SEMICONDUCTORS NV,Netherlands
JP3538800008,TDK CORPORATION,Japan
JP3164720009,RENESAS ELECTRONICS CORPORATION,Japan
